ref_key,tieu_de,trang_thai,nam,hoi_nghi_tap_chi,ho_phuong_phap,bieu_dien_dau_vao,co_dung_do_thi,loai_do_thi,co_tri_thuc_ngoai,ngon_ngu,tap_du_lieu,do_do_bao_cao,ket_qua_tot_nhat,xu_ly_phu_dinh_chuyen_y,co_giai_thich,co_ma_nguon,nguon_url,ghi_chu
"#MO_TA — dòng chú thích, công cụ bỏ qua. ĐỪNG XOÁ. Khoá trích dẫn ngắn, duy nhất","Tiêu đề đầy đủ của công trình, chép NGUYÊN VĂN từ nguồn gốc — dùng cho danh mục tài liệu tham khảo",Mức kiểm chứng: chua_kiem | da_kiem_url | da_doc_toan_van (xem protocol mục 7),"Năm công bố, 4 chữ số",Nơi công bố: tên hội nghị/tạp chí + năm. Chỉ có tiền ấn phẩm thì ghi arXiv,G1_co_dien | G2_tuan_tu_attention | G3_plm | G4_do_thi | G5_sinh_prompting | G6_neuro_symbolic | TAI_NGUYEN,Biến văn bản thành số bằng gì: dac_trung_thu_cong | tu_dien_cam_xuc | embedding_tinh | embedding_ngu_canh | khac — chi tiết để trong ngoặc,Mô hình có dùng đồ thị không: co | khong,cu_phap | ngu_nghia | tri_thuc | khac. Để TRỐNG nếu co_dung_do_thi = khong,"Có dùng tri thức ngoài (từ điển cảm xúc, SenticNet, ontology) không: co | khong","vi | en | da_ngu | khac (ngôn ngữ khác, ghi rõ trong ghi_chu)",Tập dữ liệu thực nghiệm chính. Nhiều tập thì ngăn bằng dấu +,Độ đo bài báo dùng. Ghi rõ macro hay micro,Con số tốt nhất của bài + trên tập nào. Không có số thì để [CẦN TÌM],Bài có xử lý phủ định / chuyển ý không: co | khong | mot_phan (câu hỏi CH3),Mô hình có đưa ra giải thích cho dự đoán không: co | khong,Có công khai mã nguồn không: co | khong,"Link bản gốc: DOI, arXiv hoặc ACL Anthology. Bắt buộc khi trang_thai khác chua_kiem","Tự do. Ghi cả cách bạn kiểm chứng một ô khó, nhất là khi điền khong vì bài không nhắc tới"
#VI_DU,Example Title: A Study of Something Useful,da_doc_toan_van,2020,EMNLP 2020,G3_plm,"embedding_ngu_canh (BERT-base, subword)",khong,,khong,en,SemEval-2014 Restaurant + Laptop,"accuracy, macro-F1","acc 85,2 / macro-F1 78,4 (Restaurant)",khong,khong,co,https://aclanthology.org/2020.emnlp-main.000,"DÒNG VÍ DỤ — số liệu BỊA để minh hoạ cách điền, không phải công trình thật. Công cụ bỏ qua mọi dòng có ref_key bắt đầu bằng #"
ATAE-LSTM,Attention-based LSTM for Aspect-level Sentiment Classification,da_doc_toan_van,2016,EMNLP 2016,G2_tuan_tu_attention,"embedding_tinh (GloVe, mức từ, nối thêm vector khía cạnh)",khong,,khong,en,SemEval 2014 Task 4 - Restaurants (khía cạnh cho sẵn),accuracy,"acc 84,0 (3 lớp, khía cạnh cho sẵn, Restaurant) — bài còn báo cáo acc 77,2 (Restaurant) / 68,7 (Laptop) cho bài toán KHÁC (khía cạnh dạng cụm từ, Bảng 3-4), xem ghi_chu",khong,co,khong,https://aclanthology.org/D16-1058/,"Hat giong - ten lay tu PLAN_CHUYENDE1.md muc CD1.2 | Kiem chung 22/09/2026 qua ACL Anthology: tac gia Yequan Wang, Minlie Huang, Xiaoyan Zhu, Li Zhao | DA DOC TOAN VAN 22/09/2026 (trich chu truc tiep tu PDF bang pypdf, khong qua tom tat). Bai co 3 bang ket qua rieng: Bang 2 = khia canh CHO SAN (giong ACSA cua de tai), chi co du lieu Restaurant, ATAE-LSTM dat 84,0 (3 lop)/89,9 (2 lop) — DUNG bai toan de so sanh voi de tai nay. Bang 3/4 = khia canh dang CUM TU (aspect-term, bai toan KHAC), Restaurant 77,2 / Laptop 68,7 — day la so cac bai sau (ASGCN, IAN, RAM...) hay trich lai vi ho lam aspect-term, DE NHAM voi Bang 2 (ban dau minh cung nham, xem lich su sua doi dong nay) | do_do_bao_cao=accuracy: quet toan bai, KHONG co F1/macro/micro cho o dau | co_ma_nguon=khong: quet toan 10 trang, khong co chu 'code'/'github'/'available at' | co_giai_thich=co: muc 4.4 'Qualitative Analysis' (Hinh 4, ve ban do nhiet trong so attention) + muc 4.5 'Case Study' (di qua tung cau vi du) | xu_ly_phu_dinh_chuyen_y=khong GIU NGUYEN nhung co diem dang luu y: muc 4.5 co 1 vi du cau chua tu 'not' ('not just X but also Y') ma mo hinh khong bi nham, NHUNG day chi la 1 vi du dinh tinh, KHONG phai co che kien truc rieng cho phu dinh/chuyen y — hoc vien tu quyet neu muon doi sang mot_phan"
IAN,Interactive Attention Networks for Aspect-Level Sentiment Classification,da_doc_toan_van,2017,IJCAI 2017,G2_tuan_tu_attention,"embedding_tinh (GloVe, 300 chiều, mức từ)",khong,,khong,en,SemEval 2014 Task 4 - Restaurant + Laptop (khía cạnh dạng cụm từ),accuracy,"acc 78,6% (Restaurant) / 72,1% (Laptop), 3 lớp (Bảng 2)",khong,co,khong,https://www.ijcai.org/proceedings/2017/568,"Hat giong | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep PDF bang pypdf tu arxiv.org/pdf/1709.00893, IJCAI khong co ban ACL Anthology). Tac gia: Dehong Ma, Sujian Li, Xiaodong Zhang, Houfeng Wang | bieu_dien_dau_vao: 'word embeddings...initialized by GloVe', dim 300 'as in [Wang et al., 2016]' tuc ATAE-LSTM | tap_du_lieu + ket_qua_tot_nhat tu Bang 2, dung dang khia canh CUM TU (giong Bang 3/4 cua ATAE-LSTM, KHONG phai dang khia canh cho san) | do_do_bao_cao=accuracy: quet toan bai khong thay F1/macro | co_giai_thich=co: muc 3.4 'Case Study' + Hinh 2 ve trong so attention | co_ma_nguon=khong: quet toan bai khong co cau tu nhan cong bo ma; repo github.com/lpq29743/IAN kiem lai la BAN VIET LAI cua nguoi thu ba (tu nhan trong README), khong phai tac gia goc"
MemNet,Aspect Level Sentiment Classification with Deep Memory Network,da_doc_toan_van,2016,EMNLP 2016,G2_tuan_tu_attention,"embedding_tinh (GloVe, 300 chiều, mức từ)",khong,,khong,en,SemEval 2014 Task 4 - Restaurant + Laptop (khía cạnh dạng cụm từ),accuracy,"acc 72,37% (Laptop, K=7 hops) / 80,95% (Restaurant, K=9 hops), 3 lớp — số hop (K) tối ưu KHÁC NHAU theo từng tập, xem Bảng 2 gốc",khong,co,co,https://aclanthology.org/D16-1021/,"Hat giong | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep PDF bang pypdf tu aclanthology.org/D16-1021.pdf). Tac gia: Duyu Tang, Bing Qin, Ting Liu | bieu_dien_dau_vao: '300-dimensional Glove vectors' | ket_qua_tot_nhat: bai thu K=1..9 hop, MOI tap dat max o K khac nhau (Laptop tot nhat o K=7: 72,37; Restaurant tot nhat o K=9: 80,95) — khong co 1 K duy nhat la 'tot nhat chung' | co_giai_thich=co: muc 4.5 'Visualize Attention Models' | co_ma_nguon=co: KHONG tu bai nay (bai khong tu noi) MA duoc XAC NHAN BOI BEN THU BA doc lap — bai RAM (Chen et al. 2017) footnote 4 ghi ro 'We produce its [MemNet] results on all four datasets with the code released by the authors', link http://ir.hit.edu.cn/~dytang — day la bang chung dang tin hon tu tim Github vi la loi xac nhan cua mot nhom nghien cuu khac, khong phai suy doan"
RAM,Recurrent Attention Network on Memory for Aspect Sentiment Analysis,da_doc_toan_van,2017,EMNLP 2017,G2_tuan_tu_attention,"embedding_tinh (GloVe, 300 chiều, mức từ)",khong,,khong,en,SemEval 2014 Task 4 - Restaurant + Laptop + Twitter (Dong et al. 2014) + Comments (bình luận tin tức),"accuracy, macro-F1","acc 80,23% / macro-F1 70,80% (Restaurant) — bài còn báo cáo Laptop (74,49/71,35), Tweet (69,36/67,30), Comments (73,89/73,85), xem ghi_chu",khong,co,khong,https://aclanthology.org/D17-1047/,"Hat giong | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep PDF bang pypdf tu aclanthology.org/D17-1047.pdf). Tac gia: Peng Chen, Zhongqian Sun, Lidong Bing, Wei Yang | bieu_dien_dau_vao: 'initialized by GloVe' | do_do_bao_cao=accuracy, macro-F1: bai nay KHAC IAN/MemNet, tu bao cao ca 2 do tren Bang 2 (khong noi ro macro hay micro trong van ban nhung dung cong thuc macro chuan cua Dong et al. 2014) | co_giai_thich=co: muc 4.6 'Case Study' + ve attention | co_ma_nguon=khong: quet toan bai khong co cau tu nhan cong bo ma CUA CHINH RAM (chi thay ho dung lai ma cua MemNet va word2vec cua nguoi khac — xem footnote 3, 4); repo github.com/lpq29743/RAM kiem lai la BAN VIET LAI cua nguoi thu ba, khong phai tac gia goc"
BERT-SPC,Attentional Encoder Network for Targeted Sentiment Classification,da_doc_toan_van,2019,"ICANN 2019 (bản arXiv 1902.09314 phổ biến hơn, cùng nội dung)",G3_plm,"embedding_ngu_canh (BERT-base, subword)",khong,,khong,en,SemEval 2014 Restaurant + Laptop + ACL14 Twitter (Dong et al. 2014),"accuracy, macro-F1","acc 84,46% / macro-F1 76,98% (Restaurant) — bài còn báo cáo Twitter (73,55/72,14) và Laptop (78,99/75,03), xem ghi_chu",khong,khong,co,https://arxiv.org/abs/1902.09314,"Hat giong | QUAN TRONG - da SUA NGUON: luc dau tai nham bai 'Utilizing BERT for ABSA via Constructing Auxiliary Sentence' (Sun/Huang/Qiu, NAACL 2019, N19-1035) vi ten tuong tu, nhung DOC TOAN VAN bai do KHONG HE co model ten 'BERT-SPC' (chi co BERT-single, BERT-pair-QA/NLI-M/B). Tim lai dung nguon: BERT-SPC duoc DAT TEN va dinh nghia trong bai AEN (Song, Wang, Jiang, Liu, Rao — arXiv 1902.09314, sau in ICANN 2019). Kiem chung 22/09/2026, DA DOC TOAN VAN ca 2 ban PDF de doi chieu | Dinh nghia nguyen van: 'BERT-SPC feeds sequence [CLS]+context+[SEP]+target+[SEP] into the basic BERT model for sentence pair classification task' — day la BASELINE trong bai AEN, KHONG PHAI dong gop chinh cua bai (dong gop chinh la AEN-BERT, ket qua cao hon BERT-SPC mot chut: 74,71/73,13 Restaurant) | do_do_bao_cao=accuracy, macro-F1 | co_giai_thich=khong: quet toan bai KHONG co case study/visualization (khac voi 6 dong da lam truoc, day la dong DAU TIEN co ket qua nay) | co_ma_nguon=co: footnote 1 'Source code is available at github.com/songyouwei/ABSA-PyTorch/tree/aen' — tac gia tu cong bo"
PhoBERT,PhoBERT: Pre-trained language models for Vietnamese,da_doc_toan_van,2020,Findings of EMNLP 2020,G3_plm,"embedding_ngu_canh (kiến trúc RoBERTa, subword qua fastBPE — YÊU CẦU tách từ bằng VnCoreNLP trước khi đưa vào)",khong,,khong,vi,"Tiền huấn luyện: 20GB (Wikipedia tiếng Việt ~1GB + tin tức ~19GB, KHÔNG có văn bản mạng xã hội). Đánh giá downstream: POS tagging, Dependency parsing, NER, NLI — KHÔNG có tác vụ ACSA/sentiment nào","accuracy (POS, NLI), F1 (NER), LAS/UAS (dependency parsing)","NER F1 94,7% / NLI acc 80,0% (PhoBERT_large, Bảng 3) — bài KHÔNG có tác vụ ACSA/sentiment nào để so sánh trực tiếp, xem ghi_chu",khong,khong,co,https://aclanthology.org/2020.findings-emnlp.92/,"BASELINE CHINH THUC (ban GVHD duyet muc 4) - CD1.5 - PHAI doc toan van - da gan co doc_bat_buoc.md (van dang ☐ 'Da doc ky', dong CSV nay KHONG thay the yeu cau do) | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep PDF bang pypdf). Tac gia: Dat Quoc Nguyen, Anh Tuan Nguyen (VinAI Research) | TRA LOI 1 CAU HOI TRONG doc_bat_buoc.md: du lieu tien huan luyen la Wikipedia + tin tuc, KHONG phu van ban mang xa hoi nhu UIT-ViSFD — day chinh la ly do hoc vien de xuat ViSoBERT lam phuong an thay the | Ky thuat quan trong: tach tu bang VnCoreNLP (RDRSegmenter) TRUOC, roi moi ap fastBPE (64K subword) - khac BERT tieng Anh vi tieng Viet la ngon ngu don lap, 1 'tu' co the gom nhieu am tiet noi bang '_' | 4 tac vu downstream (POS/Dep.parsing/NER/NLI) DEU KHONG PHAI ACSA - day la ly do CD1.5 phai TU CHAY thuc nghiem rieng tren UIT-ViSFD, khong the lay so tu chinh bai nay | co_giai_thich=khong: quet toan 6 trang khong co case study | co_ma_nguon=co: 'models are available at github.com/VinAIResearch/PhoBERT' (tu bai tu noi)"
ViSoBERT,ViSoBERT: A Pre-Trained Language Model for Vietnamese Social Media Text Processing,da_doc_toan_van,2023,EMNLP 2023,G3_plm,"embedding_ngu_canh (kiến trúc XLM-R, subword)",khong,,khong,vi,"SA-VLSP2016 (Sentiment Analysis câu, 3 lớp — KHÔNG phải ACSA theo khía cạnh)","accuracy, weighted-F1, macro-F1","acc 77,83% / macro-F1 77,75% (tác vụ Sentiment Analysis, Bảng 4) — bài còn đánh giá 4 tác vụ khác (Emotion, Hate Speech, Spam, Hate Speech Spans) trên MẠNG XÃ HỘI, không phải ACSA, xem ghi_chu",khong,khong,co,https://aclanthology.org/2023.emnlp-main.315/,"TUY CHON - KHONG co trong ban GVHD duyet, hoc vien chu dong bo sung; cat dau tien neu tut tien do | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep PDF bang pypdf). Tac gia: Nam Nguyen, Thang Phan, Duc-Vu Nguyen, Kiet Nguyen | QUAN TRONG: day la ung vien BO MA HOA thay the cho PhoBERT (khong phai mo hinh ACSA doc lap) — dong nay dung de CAN NHAC co dung ViSoBERT thay PhoBERT khong, khong phai de so sanh ket qua ACSA truc tiep | Kien truc: 'trained ... using XLM-R architecture', huan luyen tren van ban MANG XA HOI (Facebook/TikTok/YouTube), co tokenizer rieng xu ly teencode/emoji — day la LOI THE neu du lieu binh luan cua de tai co nhieu teencode | Danh gia tren 5 tac vu MXH tieng Viet, KHONG co tac vu ACSA/ABSA nao trong 5 tac vu do — tac vu 'Sentiment Analysis' o day la phan loai cau 3 lop (SA-VLSP2016), khac voi ACSA cua de tai | co_giai_thich=khong: quet toan 17 trang khong co case study/visualization | co_ma_nguon=co: 'ViSoBERT model is available' + link huggingface.co/uitnlp/visobert"
XLM-R,Unsupervised Cross-lingual Representation Learning at Scale,da_doc_toan_van,2020,ACL 2020,G3_plm,"embedding_ngu_canh (kiến trúc RoBERTa đa ngôn ngữ, subword)",khong,,khong,da_ngu,"CommonCrawl 100 ngôn ngữ (tiền huấn luyện) + XNLI, MLQA, CoNLL NER, GLUE (đánh giá) — KHÔNG có tác vụ ACSA/ABSA nào","accuracy, F1 (tùy tác vụ)","vượt SOTA trước đó +5,1% accuracy TB trên XNLI, +2,42% F1 trên NER, +9,1% F1 trên QA đa ngôn ngữ — LÀ CON SỐ CHÊNH LỆCH, không phải điểm tuyệt đối; bài KHÔNG liên quan ACSA, xem ghi_chu",khong,khong,co,https://aclanthology.org/2020.acl-main.747/,"Du phong cho ViSoBERT | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep PDF bang pypdf). Tac gia: Alexis Conneau, Kartikay Khandelwal, Naman Goyal, Vishrav Chaudhary, Guillaume Wenzek, Francisco Guzman, Edouard Grave, Myle Ott, Luke Zettlemoyer, Veselin Stoyanov (Facebook AI) | QUAN TRONG: day KHONG phai bai rieng cho tieng Viet, cung KHONG phai bai ACSA - la mo hinh nen DA NGON NGU tong quat (100 ngon ngu, gom ca tieng Viet). Dong nay dung de CAN NHAC lam bo ma hoa thay PhoBERT/ViSoBERT neu can da ngon ngu, khong so sanh duoc truc tiep voi cac dong ACSA khac trong ma tran | ket qua bao cao la CHENH LECH % so voi SOTA truoc (mBERT), khong phai con so tuyet doi don le - vi bai so sanh tren nhieu benchmark khac nhau (XNLI 15 ngon ngu, MLQA 7 ngon ngu...) khong the rut gon thanh 1 con so ma khong mat thong tin | co_giai_thich=khong: quet toan bai khong co case study | co_ma_nguon=co: 'We will make our code, models and data...' + footnote github.com/facebookresearch/(fairseq-py,pytext,xlm)"
